,value,type,type_line,datetime
243,0.0,,Abyssal Sceptre,2020-04-18 19:54:37.152957
244,0.0,,Spiked Gloves,2020-04-18 19:54:37.152957
245,0.0,,Imbued Wand,2020-04-18 19:54:37.152957
246,0.0,,Omen Wand,2020-04-18 19:54:37.152957
247,0.0,,Vaal Rapier,2020-04-18 19:54:37.152957
248,0.0,,Imbued Wand,2020-04-18 19:54:37.152957
249,0.0,,Spiraled Foil,2020-04-18 19:54:37.152957
250,0.0,,Gemstone Sword,2020-04-18 19:54:37.152957
251,0.0,,Imbued Wand,2020-04-18 19:54:37.152957
252,0.0,,Superior Fancy Foil,2020-04-18 19:54:37.152957
253,0.0,,Varnished Coat,2020-04-18 19:54:37.152957
254,0.0,,Titanium Spirit Shield,2020-04-18 19:54:37.152957
255,0.0,,Imbued Wand,2020-04-18 19:54:37.152957
256,0.0,,Sorcerer Boots,2020-04-18 19:54:37.152957
257,0.0,,Goliath Greaves,2020-04-18 19:54:37.152957
258,0.0,,Carnal Boots,2020-04-18 19:54:37.152957
259,0.0,,Conjurer Boots,2020-04-18 19:54:37.152957
260,0.0,,Steel Greaves,2020-04-18 19:54:37.152957
261,0.0,,Magistrate Crown,2020-04-18 19:54:37.152957
262,0.0,,Sorcerer Boots,2020-04-18 19:54:37.152957
263,0.0,,Lacquered Helmet,2020-04-18 19:54:37.152957
264,0.0,,Murder Boots,2020-04-18 19:54:37.152957
265,0.0,,Fluted Bascinet,2020-04-18 19:54:37.152957
266,0.0,,Titan Gauntlets,2020-04-18 19:54:37.152957
267,0.0,,Goliath Greaves,2020-04-18 19:54:37.152957
268,0.0,,Superior Conjurer Boots,2020-04-18 19:54:37.152957
269,0.0,,Eternal Burgonet,2020-04-18 19:54:37.152957
270,0.0,,Hydrascale Boots,2020-04-18 19:54:37.152957
271,0.0,,Hydrascale Boots,2020-04-18 19:54:37.152957
272,0.0,,Murder Boots,2020-04-18 19:54:37.152957
273,0.0,,Superior Solaris Circlet,2020-04-18 19:54:37.152957
274,0.0,,Steel Circlet,2020-04-18 19:54:37.152957
275,0.0,,Assassin's Boots,2020-04-18 19:54:37.152957
276,0.0,,Stealth Boots,2020-04-18 19:54:37.152957
277,0.0,,Slink Boots,2020-04-18 19:54:37.152957
278,0.0,,Slink Boots,2020-04-18 19:54:37.152957
279,0.0,,Carnal Boots,2020-04-18 19:54:37.152957
280,0.0,,Murder Boots,2020-04-18 19:54:37.152957
281,0.0,,Eternal Burgonet,2020-04-18 19:54:37.152957
282,0.0,,Hubris Circlet,2020-04-18 19:54:37.152957
283,0.0,,Eternal Burgonet,2020-04-18 19:54:37.152957
284,1.0,UniqueArmour,Exquisite Leather,2020-04-18 19:54:37.152957
285,2.0,DeliriumOrb,Abyssal Delirium Orb,2020-04-18 19:54:37.152957
286,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
287,0.0,,Coral Ring,2020-04-18 19:54:37.152957
288,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
289,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
290,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
291,0.0,,Jade Amulet,2020-04-18 19:54:37.152957
292,0.0,,Reave,2020-04-18 19:54:37.152957
293,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
294,0.0,,Coral Ring,2020-04-18 19:54:37.152957
295,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
296,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
297,0.0,,Cloth Belt,2020-04-18 19:54:37.152957
298,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
299,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
300,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
301,0.0,UniqueWeapon,Gnarled Branch,2020-04-18 19:54:37.152957
302,0.0,,Crimson Jewel,2020-04-18 19:54:37.152957
303,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
304,0.0,,Paua Amulet,2020-04-18 19:54:37.152957
305,0.0,,Amber Amulet,2020-04-18 19:54:37.152957
306,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
307,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
308,0.0,,Coral Ring,2020-04-18 19:54:37.152957
309,0.0,,Amber Amulet,2020-04-18 19:54:37.152957
310,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
311,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
312,0.0,,Ruby Ring,2020-04-18 19:54:37.152957
313,0.0,,Jade Amulet,2020-04-18 19:54:37.152957
314,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
315,0.0,,Iron Ring,2020-04-18 19:54:37.152957
316,0.0,,Moonstone Ring,2020-04-18 19:54:37.152957
317,0.0,,Opal Ring,2020-04-18 19:54:37.152957
318,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
319,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
320,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
321,0.0,,Chain Belt,2020-04-18 19:54:37.152957
322,0.0,,Unset Ring,2020-04-18 19:54:37.152957
323,0.0,,Studded Belt,2020-04-18 19:54:37.152957
324,0.0,,Studded Belt,2020-04-18 19:54:37.152957
325,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
326,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
327,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
328,0.0,,Jade Amulet,2020-04-18 19:54:37.152957
329,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
330,0.0,,Agate Amulet,2020-04-18 19:54:37.152957
331,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
332,0.0,,Moonstone Ring,2020-04-18 19:54:37.152957
333,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
334,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
335,1.0,UniqueJewel,Crimson Jewel,2020-04-18 19:54:37.152957
336,0.0,,Turquoise Amulet,2020-04-18 19:54:37.152957
337,50.0,UniqueWeapon,Jewelled Foil,2020-04-18 19:54:37.152957
338,0.0,,Opal Ring,2020-04-18 19:54:37.152957
339,0.0,,Coral Ring,2020-04-18 19:54:37.152957
340,0.0,,Heavy Belt,2020-04-18 19:54:37.152957
341,0.0,UniqueWeapon,Rusted Sword,2020-04-18 19:54:37.152957
342,0.0,,Blasphemy Support,2020-04-18 19:54:37.152957
343,0.0,,Moonstone Ring,2020-04-18 19:54:37.152957
344,0.0,,Cobalt Jewel,2020-04-18 19:54:37.152957
345,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
346,0.0,,Ruby Ring,2020-04-18 19:54:37.152957
347,0.0,,Ruby Ring,2020-04-18 19:54:37.152957
348,0.0,,Gold Ring,2020-04-18 19:54:37.152957
349,1.0,Oil,Sepia Oil,2020-04-18 19:54:37.152957
350,0.0,,Coral Ring,2020-04-18 19:54:37.152957
351,0.0,Fragment,Sacrifice at Dawn,2020-04-18 19:54:37.152957
352,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
353,0.0,,Coral Ring,2020-04-18 19:54:37.152957
354,0.0,,Ruby Ring,2020-04-18 19:54:37.152957
